# 常见错词词典
# 格式：错词<TAB>正词（中间是 TAB，不是空格！）
# 每行一条，# 开头为注释行，空行将被忽略
# 维护说明：仅添加确定为错误的写法；不要把相同词写入两边

# ===== 高频网络错别字 =====
帐号	账号
帐户	账户
帐单	账单
登陆系统	登录系统
登陆账号	登录账号
按装	安装
布署	部署
渡假	度假
迫不急待	迫不及待
即然	既然
做为	作为
象似	像似
甚么	什么
那末	那么
觉的	觉得
干吗	干嘛
受不鸟	受不了
黏贴	粘贴
震憾	震撼
气慨	气概
形像	形象
显象	显像
原型毕露	原形毕露
寻物启示	寻物启事
易拉灌	易拉罐
游戈	游弋

# ===== 易混成语 =====
合盘托出	和盘托出
按耐不住	按捺不住
不径而走	不胫而走
川流不息	穿流不息
大才小用	大材小用
大相经庭	大相径庭
大显伸手	大显身手
独挡一面	独当一面
飞扬拨扈	飞扬跋扈
甘败下风	甘拜下风
固步自封	故步自封
鬼鬼崇崇	鬼鬼祟祟
和霭可亲	和蔼可亲
火中取粟	火中取栗
计日成功	计日程功
既往不究	既往不咎
金壁辉煌	金碧辉煌
精兵减政	精兵简政
鸠占雀巢	鸠占鹊巢
留连忘返	流连忘返
迷漫	弥漫
描准	瞄准
破斧沉舟	破釜沉舟
人才汇粹	人才荟萃
弱不经风	弱不禁风
事必恭亲	事必躬亲
受益非浅	受益匪浅
水利枢钮	水利枢纽
死皮癞脸	死皮赖脸
肆无忌弹	肆无忌惮
所向披糜	所向披靡
随声附合	随声附和
通情达礼	通情达理
万事具备	万事俱备
相形见拙	相形见绌
相儒以沫	相濡以沫
摇摇欲堕	摇摇欲坠
有持无恐	有恃无恐
扣人心铉	扣人心弦
言简意骇	言简意赅
鬼斧神功	鬼斧神工
怨天忧人	怨天尤人
再接再励	再接再厉
责无旁代	责无旁贷
直接了当	直截了当
卓而不群	卓尔不群
自立更生	自力更生
纵横驰聘	纵横驰骋
走头无路	走投无路

# ===== 常见同音/形近词混淆 =====
后辍	后缀
催残	摧残
推委	推诿
转辄	转辙
全愈	痊愈
诉颂	诉讼
书藉	书籍
锁碎	琐碎
迷罔	迷惘
磷选	遴选
要决	要诀
银幕电影	荧幕电影
预订时间	预定时间

# ===== 用户可在此处追加自定义错词 =====
